ticker,company,year,quarter,sentiment_score,positive_count,negative_count,sentiment,filing_path
AMZN,Amazon.com Inc.,2024,2,0.9257294429708223,363,14,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001104659-24-057026/full-submission.txt
AMZN,Amazon.com Inc.,2022,4,0.8932584269662921,337,19,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001193125-22-296602/full-submission.txt
AMZN,Amazon.com Inc.,2023,1,0.6657963446475196,319,64,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001018724-23-000002/full-submission.txt
AMZN,Amazon.com Inc.,2022,1,1.0,266,0,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001018724-22-000009/full-submission.txt
AMZN,Amazon.com Inc.,2022,4,0.8727735368956743,368,25,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001193125-22-289041/full-submission.txt
AMZN,Amazon.com Inc.,2024,4,0.8662613981762918,307,22,positive,data/raw/earnings_filings/sec-edgar-filings/AMZN/8-K/0001018724-24-000158/full-submission.txt
NVDA,NVIDIA Corporation,2022,1,0.9447513812154696,352,10,positive,data/raw/earnings_filings/sec-edgar-filings/NVDA/8-K/0001045810-22-000023/full-submission.txt
NVDA,NVIDIA Corporation,2023,4,0.8837209302325582,324,20,positive,data/raw/earnings_filings/sec-edgar-filings/NVDA/8-K/0001045810-23-000225/full-submission.txt
NVDA,NVIDIA Corporation,2024,2,0.9784172661870504,275,3,positive,data/raw/earnings_filings/sec-edgar-filings/NVDA/8-K/0001045810-24-000144/full-submission.txt
NVDA,NVIDIA Corporation,2024,4,0.8771929824561403,321,21,positive,data/raw/earnings_filings/sec-edgar-filings/NVDA/8-K/0001045810-24-000315/full-submission.txt
NVDA,NVIDIA Corporation,2021,2,0.8476658476658476,376,31,positive,data/raw/earnings_filings/sec-edgar-filings/NVDA/8-K/0001193125-21-192149/full-submission.txt
NVDA,NVIDIA Corporation,2023,2,0.6170212765957447,304,72,positive,data/raw/earnings_filings/sec-edgar-filings/NVDA/8-K/0001045810-23-000087/full-submission.txt
NVDA,NVIDIA Corporation,2023,3,1.0,264,0,positive,data/raw/earnings_filings/sec-edgar-filings/NVDA/8-K/0001045810-23-000164/full-submission.txt
NVDA,NVIDIA Corporation,2022,3,0.8716216216216216,277,19,positive,data/raw/earnings_filings/sec-edgar-filings/NVDA/8-K/0001045810-22-000133/full-submission.txt
NVDA,NVIDIA Corporation,2021,2,0.9786476868327402,278,3,positive,data/raw/earnings_filings/sec-edgar-filings/NVDA/8-K/0001045810-21-000075/full-submission.txt
NVDA,NVIDIA Corporation,2022,3,1.0,263,0,positive,data/raw/earnings_filings/sec-edgar-filings/NVDA/8-K/0001045810-22-000151/full-submission.txt
NVDA,NVIDIA Corporation,2023,3,0.8516320474777448,312,25,positive,data/raw/earnings_filings/sec-edgar-filings/NVDA/8-K/0001045810-23-000171/full-submission.txt
NVDA,NVIDIA Corporation,2023,2,1.0,279,0,positive,data/raw/earnings_filings/sec-edgar-filings/NVDA/8-K/0001045810-23-000146/full-submission.txt
NVDA,NVIDIA Corporation,2021,2,0.9925925925925926,269,1,positive,data/raw/earnings_filings/sec-edgar-filings/NVDA/8-K/0001045810-21-000056/full-submission.txt
NVDA,NVIDIA Corporation,2021,1,0.9924242424242424,263,1,positive,data/raw/earnings_filings/sec-edgar-filings/NVDA/8-K/0001045810-21-000034/full-submission.txt
NVDA,NVIDIA Corporation,2024,4,1.0,264,0,positive,data/raw/earnings_filings/sec-edgar-filings/NVDA/8-K/0001045810-24-000300/full-submission.txt
